auc,aupr,acc,f-fold,frs,train_epoch,divide_rs,model_name
0.9233895422421553,0.7915835790508307,0.8876295578256655,1,0,200,0,attLSTM
0.925074511394239,0.8010679971155749,0.888921999553006,2,0,200,0,attLSTM
0.923790136550795,0.793707024479662,0.8878214602423884,3,0,200,0,attLSTM
0.921248333598641,0.7853461476674657,0.8870633510953226,4,0,200,0,attLSTM
0.9265995941850885,0.7966460049980348,0.886611003429253,5,0,200,0,attLSTM
0.924406511889982,0.7957556540585154,0.8930429612011298,1,0,200,1,attLSTM
0.9283751541834355,0.8089575228807094,0.8898505696108892,2,0,200,1,attLSTM
0.9229812019686007,0.7893912954286207,0.8848163630934608,3,0,200,1,attLSTM
0.9249487207710377,0.798234721344511,0.8886590321388992,4,0,200,1,attLSTM
0.9239542799256635,0.7919175781582513,0.8868474120546718,5,0,200,1,attLSTM
0.925448027194195,0.7923722122676091,0.8903211549793754,1,0,200,2,attLSTM
0.9207587957392626,0.7872744649172401,0.8874990693172511,2,0,200,2,attLSTM
0.9231145112250044,0.7877295902835498,0.8862001798022175,3,0,200,2,attLSTM
0.9271806071906472,0.8026348613115841,0.8894483524620511,4,0,200,2,attLSTM
0.9234371722960002,0.7944229460633595,0.8859440142942228,5,0,200,2,attLSTM
0.9281367433271059,0.8035038042257019,0.8874619553114097,1,0,200,3,attLSTM
0.9280866147609403,0.8141730585305744,0.8955820321172204,2,0,200,3,attLSTM
0.9259917201298518,0.7947740222071012,0.8906471598118982,3,0,200,3,attLSTM
0.9228847694006767,0.7950169829665151,0.8860439151470041,4,0,200,3,attLSTM
0.926326995279122,0.7941231775552081,0.8906203621252597,5,0,200,3,attLSTM
0.9231866384644162,0.7931272574482635,0.8882962962962963,1,0,200,4,attLSTM
0.9243113485702279,0.7951447269252099,0.8854546808669099,2,0,200,4,attLSTM
0.9250666782369806,0.7999847110214152,0.8889553131071589,3,0,200,4,attLSTM
0.9173245070923788,0.7820380448122384,0.8846955486080095,4,0,200,4,attLSTM
0.9264263289047799,0.7865584945328039,0.8904716215218835,5,0,200,4,attLSTM
