auc,aupr,acc,f-fold,frs,train_epoch,divide_rs,model_name
0.9053045388753944,0.7336577608393051,0.8746262281076463,1,0,200,0,attLSTM
0.9038570433272383,0.7448422553806386,0.8710068454078722,2,0,200,0,attLSTM
0.9081042830798257,0.7426248425561068,0.8738255033557047,3,0,200,0,attLSTM
0.9077999529551619,0.7501672119192053,0.8780418788907753,4,0,200,0,attLSTM
0.9063627067324929,0.7484384092504996,0.87650623885918,5,0,200,0,attLSTM
0.9015998356686614,0.7394238653124504,0.8738809151627114,1,0,200,1,attLSTM
0.9073451109557806,0.7511034801809668,0.8754077435824705,2,0,200,1,attLSTM
0.9083923406026319,0.7390458518716456,0.8746524064171123,3,0,200,1,attLSTM
0.9035696330083549,0.739092630760065,0.8722712822324267,4,0,200,1,attLSTM
0.9036241586735672,0.7436525031845735,0.874055595153243,5,0,200,1,attLSTM
0.9030098672587766,0.7342340448478706,0.8725434751873321,1,0,200,2,attLSTM
0.9073884960094893,0.7482003169547522,0.8777746158224246,2,0,200,2,attLSTM
0.9043825012119462,0.7413961155720862,0.872826555539589,3,0,200,2,attLSTM
0.9087803979465713,0.7545860919797841,0.8760254596888261,4,0,200,2,attLSTM
0.9070671571450084,0.7395965276815571,0.8751238850346879,5,0,200,2,attLSTM
0.9078093229309034,0.7492194697603956,0.8739013325772611,1,0,200,3,attLSTM
0.9050133625977168,0.7452344057639497,0.8733031674208145,2,0,200,3,attLSTM
0.9105431436655644,0.7555176257143027,0.8798203720863925,3,0,200,3,attLSTM
0.9041799813214699,0.7314951606406481,0.8684923691342177,4,0,200,3,attLSTM
0.9056758539158777,0.7426177795715592,0.8780799545551374,5,0,200,3,attLSTM
0.9027756591833704,0.7376231622226435,0.8704450576664544,1,0,200,4,attLSTM
0.9092486136421022,0.7515160585481218,0.8748398120461341,2,0,200,4,attLSTM
0.9072246922982159,0.749494263646561,0.8736083357122466,3,0,200,4,attLSTM
0.8967398831306497,0.7286045353994125,0.8723904524403278,4,0,200,4,attLSTM
0.9050627631219953,0.7348689447602217,0.8763418079096045,5,0,200,4,attLSTM
