auc,aupr,acc,f-fold,frs,train_epoch,divide_rs,model_name
0.9297397897929071,0.809899157519199,0.8911777241085381,1,0,200,0,attLSTM
0.9257573868632302,0.7900509274630529,0.8869787596789088,2,0,200,0,attLSTM
0.9302058583537405,0.8148592218654305,0.8898913120693329,3,0,200,0,attLSTM
0.9277473392102212,0.8000169129961638,0.8879022519002628,4,0,200,0,attLSTM
0.931795968061696,0.8145689933785427,0.891809334375222,5,0,200,0,attLSTM
0.9278465192810045,0.8040768611658093,0.8897570677653076,1,0,200,1,attLSTM
0.926883601450623,0.8007943810268477,0.8901754635220572,2,0,200,1,attLSTM
0.93010171510873,0.8024404717535656,0.8910279178802302,3,0,200,1,attLSTM
0.928066197585232,0.804940376132649,0.8908148042906869,4,0,200,1,attLSTM
0.9311979942116856,0.818078433110155,0.8913120693329545,5,0,200,1,attLSTM
0.9305470894613473,0.8073929606993526,0.8925273476346072,1,0,200,2,attLSTM
0.9267277503649622,0.804533962381153,0.8891098955743412,2,0,200,2,attLSTM
0.9305395913777708,0.8082437907202856,0.8916672586488599,3,0,200,2,attLSTM
0.9250216944650739,0.7977057072530308,0.8900333877956951,4,0,200,2,attLSTM
0.9268667121365737,0.7985525849594193,0.8895361227534275,5,0,200,2,attLSTM
0.9310455275024082,0.8105671419015237,0.8913908225600228,1,0,200,3,attLSTM
0.9293312215405042,0.805532548096548,0.8913831071961356,2,0,200,3,attLSTM
0.9254793770566226,0.804972303430676,0.888967819847979,3,0,200,3,attLSTM
0.9271658256593038,0.8014595101209866,0.8912410314697734,4,0,200,3,attLSTM
0.9282927793578413,0.8003378975370659,0.8914541450593166,5,0,200,3,attLSTM
0.9286059674363549,0.7985318936574506,0.8914618553771843,1,0,200,4,attLSTM
0.9272794739830047,0.7916779238957015,0.8913831071961356,2,0,200,4,attLSTM
0.9275236566707776,0.8047666657147469,0.8851317752362009,3,0,200,4,attLSTM
0.9289661860969297,0.8077889363286338,0.8912410314697734,4,0,200,4,attLSTM
0.9302310639710698,0.8062295070224766,0.8883995169425304,5,0,200,4,attLSTM
