auc,aupr,acc,f-fold,frs,train_epoch,divide_rs,model_name
0.9561675070156065,0.8701629869024905,0.9191756189773618,1,0,200,0,attLSTM
0.9574599796580211,0.8843066180474635,0.9187606620867721,2,0,200,0,attLSTM
0.9568988803228508,0.8788555491050701,0.9195905758679515,3,0,200,0,attLSTM
0.9592173338776533,0.8835328776812169,0.9199594264373646,4,0,200,0,attLSTM
0.9557695422359468,0.8750465850723649,0.9183419402434526,5,0,200,0,attLSTM
0.9577407868156598,0.8749380897273132,0.9178846419844161,1,0,200,1,attLSTM
0.9569045996462797,0.8800800841912708,0.9205127022914842,2,0,200,1,attLSTM
0.9592155509413598,0.8865823748682216,0.9212965097514869,3,0,200,1,attLSTM
0.9582879677165514,0.8808547995807126,0.9188067684079487,4,0,200,1,attLSTM
0.9566414066251052,0.8780336200801347,0.9202784950202877,5,0,200,1,attLSTM
0.9569842888985981,0.8754259161930893,0.9169625155608834,1,0,200,2,attLSTM
0.9574020163143491,0.8765846088266315,0.91700862188206,2,0,200,2,attLSTM
0.957438646424884,0.8829666526019733,0.920282170685601,3,0,200,2,attLSTM
0.9553744467930851,0.8756329496778906,0.9168241965973535,4,0,200,2,attLSTM
0.9570594985386732,0.8779352545385593,0.9165898192548875,5,0,200,2,attLSTM
0.9558552941116204,0.8774167306434589,0.9152565816773479,1,0,200,3,attLSTM
0.9578318943828196,0.8795236622486752,0.9212042971091337,2,0,200,3,attLSTM
0.9596572109316066,0.8853213261496725,0.9200055327585412,3,0,200,3,attLSTM
0.9574995645950496,0.8722028395872009,0.918898981050302,4,0,200,3,attLSTM
0.9569025401690257,0.880475462201937,0.9190335669494651,5,0,200,3,attLSTM
0.956110056944276,0.8750952389645226,0.9194061505832449,1,0,200,4,attLSTM
0.9545045888242689,0.8725794754666455,0.9182995988750058,2,0,200,4,attLSTM
0.9592964528874879,0.8808879130072675,0.9185762368020656,3,0,200,4,attLSTM
0.9576646065248097,0.8815021336093898,0.9218958919267831,4,0,200,4,attLSTM
0.9570987962629441,0.8792688709466021,0.918111398008115,5,0,200,4,attLSTM
