auc,aupr,acc,f-fold,frs,train_epoch,divide_rs,model_name
0.9642755430032591,0.9003004905463601,0.9305276611283549,1,0,200,0,attLSTM
0.9633159198947132,0.9026250458311278,0.9275970619097587,2,0,200,0,attLSTM
0.9641419733055329,0.8948421162067541,0.9273050453488902,3,0,200,0,attLSTM
0.9643116435441919,0.8997632813662145,0.9295530292653974,4,0,200,0,attLSTM
0.9655543171087044,0.9008108668273597,0.9303979215096404,5,0,200,0,attLSTM
0.9630765958735708,0.8976457729475004,0.9284508327629477,1,0,200,1,attLSTM
0.9651771954955358,0.9040382127172475,0.9295268425841674,2,0,200,1,attLSTM
0.9664612468858422,0.90321922911185,0.9308359981726816,3,0,200,1,attLSTM
0.9631974040924224,0.8964781595374912,0.9282357771796158,4,0,200,1,attLSTM
0.9647606750509194,0.9020909242177524,0.9313430110472016,5,0,200,1,attLSTM
0.9613524412707849,0.8927241046654562,0.927034910217847,1,0,200,2,attLSTM
0.9658027150878767,0.9028167532530234,0.9305257388206276,2,0,200,2,attLSTM
0.9629350578775446,0.896223215241407,0.9262917238225881,3,0,200,2,attLSTM
0.9659597268239567,0.9037535953819203,0.9302389078498293,4,0,200,2,attLSTM
0.9650717124657477,0.9046066842858789,0.9313725490196079,5,0,200,2,attLSTM
0.963996112432574,0.8992923943662243,0.9274344355758267,1,0,200,3,attLSTM
0.9647355422222524,0.9080519771640148,0.929806157354618,2,0,200,3,attLSTM
0.9657264199704949,0.9013154232626406,0.9302272519850324,3,0,200,3,attLSTM
0.9635133710165895,0.893853175464191,0.9279923483330297,4,0,200,3,attLSTM
0.9624399574544179,0.8926107569480495,0.9287345820009136,5,0,200,3,attLSTM
0.9644580486122846,0.9001682839293857,0.9296956977964324,1,0,200,4,attLSTM
0.9640258467979358,0.9027203317813766,0.927575965273018,2,0,200,4,attLSTM
0.9641193226981164,0.9020049279941099,0.9266560437058957,3,0,200,4,attLSTM
0.9623119458240015,0.894892788957905,0.9291223586326502,4,0,200,4,attLSTM
0.9664797819631996,0.9021619760729966,0.9310533515731874,5,0,200,4,attLSTM
